smiles,logS
O=C(OC1CCCCCC1)c1ccc(Cl)cc1,-2.425681498049661
CC1(C)CCCC2(C)C1CCC1(C)OC(=O)CC12,-1.7179635032186464
CCCCCc1ccncc1,-1.3324992773443256
CCCC(C)COC(=O)c1ccc(Cl)cc1,-2.2825570204010277
O=C(OC1CC2CCC1C2)c1ccc(Cl)cc1,-1.819449532788194
CC1CCC(OC(=O)c2ccc(Cl)cc2)CC1,-1.985574394782493
CC(C)CCOC(=O)c1ccc(Cl)cc1,-1.7228892612851028
O=C(OCCCCc1ccccc1)c1ccc(Cl)cc1,-2.404801824072824
COC(=O)C1(NC(=O)c2ccccc2)CCCCC1,-1.1077898513743
O=C1c2ccccc2C(=O)N1C1CCCCCC1,-1.7364453071240444
COC(=O)C1CCCCC1C(=O)OC,-0.6879403867641039
C1CCCCC1,-1.5414973395618008
Cc1ccccc1,-1.1177235987393779
C1CCC2CCCCC2C1,-1.99388551483883
c1ccc(Cc2ccccc2)cc1,-1.570806365508219
CC1CCCCC1C,-1.6141917638820895
CC(=O)OC1(C)CCC2C(C)(C)C3CC21CCC3C,-2.1226447820762284
CC1(C)CCCC2(C)C1CCC1(C)OCCC12,-2.173108584420644
c1ccc(Cc2ccccn2)cc1,-1.4600049229942489
O=[N+]([O-])c1ccc(Cc2ccccc2)cc1,-1.7201330619546997
O=C1c2ccccc2Cc2ccccc21,-1.5890351244857435
COc1ccc2c(c1)CCCC2,-1.373443719770311
c1ccc2c(c1)CCO2,-1.1144968544623066
CC(=O)c1ccc2c(c1)CCCC2,-1.3307938088838809
Cc1cccc2c1CCCC2C,-1.8906059408872928
CCc1ccncc1,-1.161729573442421
Cc1ccc2ccccc2n1,-1.2830514998900537
Cc1cnc2ccccc2c1,-1.3315123622071596
Cc1ccc2ncccc2c1,-1.397708743302535
COc1ccc(C)cc1,-1.1931477023931372
c1ccc2c(c1)Cc1ccccc1O2,-1.9001108923444787
Cc1ccc(C)cc1,-1.3099596646240013
Cc1ccc(C(C)C)cc1,-1.5988047808241355
CCc1cccc(CC)c1,-1.5334119596088076
Cc1ccc(Cl)cc1,-1.4002647113987794
Cc1ccc(Br)cc1,-1.4834104913990287
CCc1ccccc1CC,-1.5149341857406249
CCc1cc(CC)cc(CC)c1,-1.8383744326991298
c1ccc(CCCc2ccccc2)cc1,-2.157631061593145
Clc1ccc2c(c1)Cc1cc(Cl)ccc1-2,-2.3588237510528427
Cc1ccc2nc(C)ccc2c1,-1.7889513129118673
CC(C)(C)c1ccc2c(c1)Cc1cc(C(C)(C)C)ccc1-2,-2.75372995170283
Cc1ccc2cccc(C)c2n1,-1.4726428108400764
COc1ccc2nc(C)ccc2c1,-1.4176280338696547
Fc1ccc2c(c1)Cc1ccccc1-2,-1.8208169986655014
Cc1cccc2ncccc12,-1.482631698924172
c1cnc2c(c1)CCC2,-1.062686294441233
COc1ccccc1C,-1.3400069831663095
COc1cccc(C)c1C,-1.3995522540554857
Cc1ccc(C(C)(C)C)cc1,-1.8834992822804892
COc1ccc(C)c(C)c1,-1.287645474828658
